date,ticker,pred_horizon_return,gross_return,net_return,success,hormuz_closure,red_sea_disruption,sanctions_escalation,oil_above_100,gold_above_3000,silver_above_40,taiwan_strait_crisis,russia_ukraine_ceasefire,us_recession,middle_east_war_escalation,regime,month
2024-12-03,MUR,0.040218071371457775,-0.042079227202757474,-0.050079227202757474,0,0.5,0.5,0.5,0.5,0.041064643008311225,0.05099999999999999,0.026110979127957745,0.03862968568995739,0.13,0.8732713991513233,High Hormuz,12
2024-12-04,MTDR,0.18319209898136057,0.026590176485103312,0.01859017648510331,1,0.5,0.5,0.5,0.5,0.033272146042327456,0.05,0.02513481404162117,0.042564842844978704,0.135,0.8720559597036444,High Hormuz,12
2024-12-04,SM,0.16194980813539775,-0.032196481380765696,-0.040196481380765696,0,0.5,0.5,0.5,0.5,0.033272146042327456,0.05,0.02513481404162117,0.042564842844978704,0.135,0.8720559597036444,High Hormuz,12
2024-12-04,MUR,0.0761666553114422,-0.020323893118456948,-0.02832389311845695,0,0.5,0.5,0.5,0.5,0.033272146042327456,0.05,0.02513481404162117,0.042564842844978704,0.135,0.8720559597036444,High Hormuz,12
2024-12-05,MTDR,0.10606642536392709,0.004302926102680571,-0.003697073897319429,0,0.5,0.5,0.5,0.5,0.03547942597576033,0.0395,0.02318248386894803,0.036662107112446725,0.135,0.8802392768390265,High Hormuz,12
2024-12-05,SM,0.07751611917509742,-0.02272185438258123,-0.03072185438258123,0,0.5,0.5,0.5,0.5,0.03547942597576033,0.0395,0.02318248386894803,0.036662107112446725,0.135,0.8802392768390265,High Hormuz,12
2024-12-05,RRC,0.054887626081388405,0.06695656154466678,0.05895656154466678,1,0.5,0.5,0.5,0.5,0.03547942597576033,0.0395,0.02318248386894803,0.036662107112446725,0.135,0.8802392768390265,High Hormuz,12
2024-12-06,MTDR,0.09712826287155378,0.07992770424272266,0.07192770424272266,1,0.5,0.5,0.5,0.5,0.028477002079590728,0.039,0.021230153696274883,0.029775582091159436,0.135,0.8802392768390265,High Hormuz,12
2024-12-06,SM,0.0552958084039527,0.06222000948262729,0.05422000948262729,1,0.5,0.5,0.5,0.5,0.028477002079590728,0.039,0.021230153696274883,0.029775582091159436,0.135,0.8802392768390265,High Hormuz,12
2024-12-06,RRC,0.04685750958974533,0.08977774160879637,0.08177774160879636,1,0.5,0.5,0.5,0.5,0.028477002079590728,0.039,0.021230153696274883,0.029775582091159436,0.135,0.8802392768390265,High Hormuz,12
2024-12-09,MTDR,0.07712868075021083,0.06505942197429238,0.057059421974292375,1,0.5,0.5,0.5,0.5,0.03191637079887839,0.024500000000000004,0.021718236239443172,0.06912715364137254,0.13,0.8795503673655946,High Hormuz,12
2024-12-09,RRC,0.047441959068988196,0.09932608507344654,0.09132608507344653,1,0.5,0.5,0.5,0.5,0.03191637079887839,0.024500000000000004,0.021718236239443172,0.06912715364137254,0.13,0.8795503673655946,High Hormuz,12
2024-12-09,SM,0.04678853800067536,0.04816915618874895,0.04016915618874895,1,0.5,0.5,0.5,0.5,0.03191637079887839,0.024500000000000004,0.021718236239443172,0.06912715364137254,0.13,0.8795503673655946,High Hormuz,12
2024-12-10,AR,0.05984682635374926,0.23413850680828285,0.22613850680828285,1,0.5,0.5,0.5,0.5,0.03165839704919269,0.0205,0.032944134732313744,0.08388399297270245,0.13,0.8798948221023105,High Hormuz,12
2024-12-10,RRC,0.04173909595182819,0.12330778938065934,0.11530778938065933,1,0.5,0.5,0.5,0.5,0.03165839704919269,0.0205,0.032944134732313744,0.08388399297270245,0.13,0.8798948221023105,High Hormuz,12
