variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,commodity_type,n_tickers
market_event,10,504,0.036966282800730485,0.20390678768131615,0.17012279742281056,0.10533730473910115,0.6644816040459383,0.45436507936507936,0.0014669159841559716,-2.54229078761673,precious_metals,32
market_event,5,504,0.03218468018762995,0.1921018353160345,0.16362374502321808,0.09915388464680289,0.6756484465928556,0.498015873015873,0.000638584924357737,-1.2025013083968084,precious_metals,32
market_only,5,504,0.02683199430961919,0.18674914943802373,0.16342219736954,0.0842784567713273,0.6997769072326155,0.48214285714285715,0.0005323808394765712,-1.1034507591061975,precious_metals,32
convexity,10,518,0.014790553457246612,0.17721915280051923,0.16971305971879502,0.06110692539097607,0.8988638536669544,0.5057915057915058,0.0005869267244939132,-1.4248278020565834,oil_gas_upstream,57
full_cross_market,10,518,0.007771783166942987,0.17020038251021558,0.15605119581047844,0.02970892027592389,0.7729409624528428,0.4768339768339768,0.00030840409392630903,-1.5020801050362067,oil_gas_upstream,57
market_event,10,518,0.005614929436083306,0.16804352877935588,0.16045094054402909,0.023942723265673503,0.87551131626936,0.49034749034749037,0.00022281466016203596,-0.9333509822041721,oil_gas_upstream,57
full_cross_market,5,518,-0.0022251021375093083,0.15336996771715453,0.09800136039286889,-0.006092142389389056,0.4412524952512171,0.5096525096525096,-4.41488519347085e-05,-2.349662465733747,base_metals,38
market_event,5,504,-0.016076605326302108,0.14384054980210242,0.10307236428505617,-0.04833348916045008,0.4783426297311047,0.4861111111111111,-0.0003189802644107561,-1.5378280932010038,oil_services,21
market_only,5,504,-0.04110771471784009,0.11880944041056447,0.08317114706288686,-0.13082659967712088,0.4273337879212327,0.4623015873015873,-0.0008156292602746049,-1.2653104970338784,oil_services,21
convexity,5,504,-0.07073005136487205,0.08918710376353253,0.0476531722547624,-0.22160639521386313,0.3067790444808539,0.46825396825396826,-0.0014033740350173026,-2.09282071619902,oil_services,21
market_only,5,518,-0.08376912331745033,0.07182594653721358,0.05846222540757373,-0.38692051132346283,0.41500488697575105,0.4517374517374517,-0.0016620857801081415,-0.9455767662012297,oil_gas_upstream,57
full_cross_market,5,504,-0.09005492221488137,0.06986223291352318,0.026945344059299492,-0.2817971746508507,0.23876269790408544,0.4781746031746032,-0.0017868040122000274,-1.3234471656230304,oil_services,21
convexity,5,518,-0.15021245876103484,0.005382611093629072,-0.01341209937956056,-0.6447939712099358,0.0278596971941141,0.4362934362934363,-0.00298040592779831,-0.8610280867056794,oil_gas_upstream,57
market_event,5,518,-0.17087773825703975,-0.015282668402375837,-0.03379288491646426,-0.7261261375144143,-0.07867810521545973,0.4575289575289575,-0.0033904313146238046,-0.9273483308592304,oil_gas_upstream,57
full_cross_market,5,518,-0.17306253403176117,-0.01746746417709729,-0.03743260042028984,-0.7110232240218247,-0.08624329187875915,0.4343629343629344,-0.0034337804371381187,-0.9024929159731517,oil_gas_upstream,57
market_event,1,518,-0.18652354262037343,-0.04218448347863388,-0.07744602374055776,-0.6202651150973643,-0.1519759741575653,0.4362934362934363,-0.000740172788176085,-0.40588193474838535,base_metals,38
